latitude,longitude,elev,ilplat,ilplng,iso
20.4192,136.1100,29,24.4658,131.1933,675.8493
20.4258,136.1083,29,24.4658,131.1933,675.2231
16.0450,-61.6642,4813,10.2292,-63.4742,672.6498
55.8967,130.4533,7808,56.7300,119.7325,669.2264
49.8050,86.5908,14783,45.1658,80.9433,668.3240
16.5975,120.8992,9587,22.6183,120.7558,666.6752
29.5967,101.8783,24790,29.6325,95.0575,660.5616
-5.2908,71.7408,114,0.5333,73.0000,659.0511
51.8842,-178.1425,5925,53.1250,-168.7008,655.2961
-11.7575,43.3658,7746,-13.8542,48.9867,652.7908
-15.7358,-142.1292,72,-15.8458,-148.2183,652.5165
75.3692,-115.0825,2500,78.4258,-92.8533,652.0587
39.0800,113.5675,10036,38.9592,106.0433,651.5626
39.0808,113.5667,10036,38.9592,106.0433,651.4891
22.6508,-12.5742,3002,27.8517,-15.5358,648.7277
24.2342,141.4633,2739,19.6917,145.4050,647.0046
57.2883,33.9517,1167,63.0583,32.6525,646.8635
-6.4033,-50.3325,2952,-11.4192,-47.3967,641.8250
-54.7058,158.8200,1421,-50.8667,165.9242,641.5137
8.7267,167.7400,82,5.3542,163.0158,641.4436
8.7258,167.7392,82,5.3542,163.0158,641.3144
17.8383,8.7200,6634,22.8533,5.6533,640.8510
11.9033,18.1908,5252,7.9408,14.0125,633.9992
-27.1100,-68.5425,22615,-32.6525,-70.0100,630.5110
69.2775,-144.9100,9002,63.6883,-146.9150,629.5502
25.3633,-100.5575,12205,19.7475,-99.7667,627.1788
60.5675,-140.4058,19541,63.0650,-150.9950,622.7260
24.6492,72.7750,5650,26.8625,67.1508,615.1197
33.3617,126.5292,6398,33.7675,133.1158,613.1422
-19.6683,-175.0158,3638,-16.8317,-179.9575,609.5905
43.8017,88.3333,17864,42.2550,81.1567,609.4052
15.0692,107.9750,8524,19.1958,104.1842,609.2590
-20.5883,164.7700,5341,-15.4667,166.7925,605.9406
4.6783,168.6825,82,-0.5075,166.9475,605.0146
-31.5800,159.0825,2871,-30.3450,152.9433,602.2213
35.1675,-93.6450,2753,36.0617,-100.1942,601.4711
-19.6983,63.4458,1299,-20.3133,57.7567,599.1807
-13.0425,133.0808,1811,-16.1683,128.5508,598.1324
-13.0417,133.0800,1811,-16.1683,128.5508,598.1143
-10.8325,-63.5775,3694,-14.1417,-67.9242,597.6513
71.0800,-8.1792,7470,72.0817,-24.8458,596.4788
36.4125,87.3850,22877,35.3150,80.9192,596.4197
25.7775,-171.7275,50,23.7692,-166.2600,595.9473
-17.4033,155.8708,29,-16.6025,150.3392,595.6392
66.5467,-65.4292,7031,66.0408,-52.2725,592.0651
21.9158,25.0000,6345,22.0175,19.2800,590.8704
-13.2967,-41.9075,6670,-18.3983,-43.3483,585.2346
0.1933,-176.4858,36,-4.6567,-174.5408,578.2626
-0.6592,112.6883,7546,4.0442,114.9275,576.6393
73.2300,-78.6233,6378,78.3833,-80.0600,576.5392
-64.6217,-63.4575,9058,-69.7542,-64.4600,574.0195
28.5100,33.9550,8625,33.4083,35.8442,572.2496
24.8717,-100.2325,12205,19.7475,-99.7667,569.4485
19.6000,73.7108,5400,24.6483,72.7750,567.2823
17.1625,54.8533,5774,15.1733,49.9650,567.1897
-8.1600,-36.3925,3933,-10.1908,-41.1058,564.5853
51.3733,-125.2633,13186,46.8667,-121.7833,561.7397
63.1392,-44.8367,9435,66.8958,-36.9233,560.0779
-0.3767,-160.0167,75,4.6700,-160.3625,559.3605
63.1483,-44.8167,9435,66.8958,-36.9233,558.6513
-77.2575,39.1550,12500,-81.0242,56.9308,558.1570
